company_name,services_provided,mbe_wbe_cert,small_local_cert,veteran_cert,sdo_certified,city_registered,address,city,state,zipcode,contact_name,contact_title,phone,fax,email,website,business_type,construction,date_established,number_employees,cob_category_codes1,cob_category_codes2,cob_category_codes3,naics_codes1,naics_codes2,naics_codes3,unspsc_code1,unspsc_code2,unspsc_code3
"Big Game Outfitters, Inc.","Logoed apparel, screen printed/embroidered; promotional products",WBE,,,Yes,No,"780 Bay Road, South Hamilton, MA 1982",South Hamilton,MA,1982,Christine O'Shea,,(978) 468-9759,,oshea.c@comcast.net,,Corporation,No,01/01/1993,Less than 10,AL - Apparel,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,,451110 - Sporting Goods Stores ,541430 - Graphic Design Services,,49160000 - Field and court sports equipment,,
"Black Owned Bos, LLC","Retail, marketing, and consulting",MWBE,SLBE,,No,No,"9 Williams Street, #210, Boston, MA 2119",Boston,MA,2119,Jae'da Turner,,(617) 823-3140,,blackownedbos@gmail.com,,Limited Liability Company,No,01/01/2020,Less than 10,COM - Consultants: Management,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,RT - Retail Sales of Art & Framing,541613 - Marketing Consulting Services ,,,,,
"Bloom Architecture, Inc.",Architecural and interior design services   ,,SLBE,,No,Yes,"784a Tremont Street, Boston, MA 2118",Boston,MA,2118,Derek Bloom,,(617) 607-4589,(781) 823-7688,db@derekbloomarchitects.com,,Corporation,No,01/01/2003,Less than 10,AE - Architects/Engineers,,,541310 - Architectural Services,,,,,
Blue Dynasty Entertainment and Travel,"Travel agency providing research and bookings for vacations, flights, tours, ground transportation and business travel",MWBE,,,Yes,Yes,"73 Hazelton Street, Mattapan, MA 2126",Mattapan,MA,2126,Jeanne Richardson,,(877) 368-8003,,jeanne@bluedynastyent.com,,Limited Liability Company,No,01/01/2007,Less than 10,"TR - Travel, Transportation (Travel Agencies, Planning, Limo Services)",,,561510 - Travel Agencies,,,90120000 - Travel facilitation,,
"Boggs Properties, LLC","Commercial/residential contracting; property management; snow plowing, sanding and removal; security analysis   ",MBE,SLBE,,Yes,Yes,"P.O. Box 240641, Dorchester, MA 2121",Dorchester,MA,2121,George Boggs,,(617) 282-4474,(617) 282-1701,boggsproperties@aol.com,,Corporation,No,01/01/1998,Less than 10,"RE - Real Estate (Development, Management, Sales and Appraisals)","SE - Security (Guards, Dogs, Systems)",,531311 - Residential Property Managers ,238390 - Other Building Finishing Contractors,238160 - Roofing Contractors ,,,
"Boston Baking, Inc.",Wholesale manufacturer of baked goods   ,WBE,SLBE,,No,No,"101 Sprague Street, Boston, MA 2136",Boston,MA,2136,Julee Robey-Boschetto,,(617) 364-6900,(617) 364-6922,julee@bostonbaking.com,,Corporation,No,01/01/2004,41 - 100,"FD - Food Products, Services",MU - Manufacturers,SU - Suppliers,"311813 - Frozen Cakes, Pies, and Other Pastries Manufacturing ",,,50180000 - Bread and bakery products,,
"Boston Change Management Partners, LLC","Consulting services, communication, training and coaching",MWBE,,,No,No,"749 Worcester Street, Wellesley, MA 2481",Wellesley,MA,2481,Joan Pierre,,(781) 591-0410,,joan.pierre@bostoncmpartners.com,,Limited Liability Company,No,01/01/2019,Less than 10,COG - Consultants: Human Resources,TA - Training (see also ED),"ED - Education (see also OS, TA)",541611 - Administrative Management and General Management Consulting Services ,611710 - Educational Support Services,,,,
"Boston Electrical Solutions, Inc.",Electrical services,WBE,,,Yes,No,"209 Eliot Street, Milton, MA 2186",Milton,MA,2186,Suzanne Sellon-Foster,,(617) 970-1100,,bostonelectricalsolutions@gmail.com,,Corporation,Yes,01/01/2015,Less than 10,EL - Electrical Contractors,,,238210 - Electrical Contractors and Other Wiring Installation Contractors,,,,,
"Boston s Best Bartending Services, Inc.","Provide full service bartending, fully insured and certified, (no products supplied)   ",WBE,SBE,,No,Yes,"42 Temple Street, Newburyport, MA 1950",Newburyport,MA,1950,Dianna Kinosian,Dianna Kinosian President,(978) 465-2227,(610) 887-1444,bostonsbestbar@aol.com,,Corporation,No,01/01/2001,Less than 10,CT - Catering,,,722320 - Caterers,,,90100000 - Restaurants and catering,,
"Boston-Studio, Inc.","Design services, community engagement, development, architecture, art, education and landscape architecture   ",WBE,SLBE,,Yes,No,"8 Highland Park Avenue, Boston, MA 2119",Boston,MA,2119,Jessica Leete,"Jessica Leete, Owner",(415) 497-9598,,jsmleete@gmail.com,,Corporation,No,01/01/2018,Less than 10,"LD - Landscaping (Design, Architects)",COD - Consultants: Design,"ED - Education (see also OS, TA)",541320 - Landscape Architectural Services,611430 - Professional and Management Development Training ,541310 - Architectural Services,81100000 - Professional engineering services,77100000 - Environmental management,77110000 - Environmental protection
"Bountyful Provisions Company, LLC",Wholesale food distributor,MBE,,,Yes,Yes,"95 Ruthven Street, Boston, MA 2121",Boston,MA,2121,Levi Fears,,(617) 959-6913,,levi@bountyfulprovisions.com,,Limited Liability Company,No,,Less than 10,"FD - Food Products, Services",,,424410 - General Line Grocery Merchant Wholesalers ,,,73130000 - Food and beverage industries,,
Breezie Cleaning and Janitorial Services,Janitorial Cleaning; Window Cleaning; Carpet Cleaning and Floor Care   ,MWBE,"SBE, SLBE",,Yes,Yes,"27 Beech Glen Street, Boston, MA 02119",Boston,MA,02119,Brittany McLemore,"Brittany McLemore, Owner",(866) 292-6228,,brittany@breeziecleaning.com,,Sole Proprietorship,No,01/01/2018,Less than 10,"JA - Janitorial Services/Supplies (see also MA, RS)",,,561720 - Janitorial Services ,,,76110000 - Cleaning and janitorial services,,
"Brennan Consulting, Inc.",Civil and travel engineering; land survey; construction survey,WBE,,,Yes,No,"24 Ray Avenue, Suite 203, Burlington, MA 1803",Burlington,MA,1803,Laureen Poulakis,,(781) 273-3434,,krinaldi@brennanconsults.com,,Corporation,No,01/01/2016,21 - 40,AE - Architects/Engineers,"AS - Architectural Support Services, Surveying",,541330 - Engineering Services,541360 - Geophysical Surveying and Mapping Services,,,,
"Bridgeline General Construction, Inc.",Interior and exterior carpentry   ,,SBE,,No,No,"321 Billerica Road, Chelmsford, MA 1824",Chelmsford,MA,1824,Gustavo Lopes,,(844) 221-0205,,wagner@bridgelinegc.com,,Corporation,Yes,01/01/2013,Less than 10,CA - Carpentry,"JA - Janitorial Services/Supplies (see also MA, RS)",,238170 - Siding Contractors ,,,,,
Broco Oil Incorporated,Distributor of fuel oil and diesel oil.  This is a Service Disabled Veteran Owned Small Business Enterprise (SDVOSBE).   ,,SBE,SDVOB,No,Yes,"34 Main Street, North Reading, MA 1864",North Reading,MA,1864,Robert Brown,,(781) 844-1230,,bobby@brocooil.com,,Corporation,No,01/01/2007,Less than 10,PP - Petroleum Products (Sales/Service),,,,,,,,
"Bryant Associates, Inc.","Civil, structural and traffic engineering; surveying and construction management   ",MBE,SLBE,,Yes,Yes,"90 Canal Street, Boston, MA 2114",Boston,MA,2114,Jeffrey Bryant,,(617) 248-0300,(617) 248-0212,jcbryant@bryant-engrs.com,www.bryant-engrs.com,Corporation,No,01/01/1976,41 - 100,EG - Civil/Structural Engineering,"AS - Architectural Support Services, Surveying","COA - Consultants: Architecture, Engineering",541330 - Engineering Services,541370 - Surveying and Mapping (except Geophysical) Services,"237310 - Highway, Street, and Bridge Construction ",81100000 - Professional engineering services,,
"C & C Consulting Engineers, LLC","Consulting engineering in design of bridges, structures, roadways, utilities, traffic and civil work, survey and environmental engineering   Engineering.",MBE,SLBE,,Yes,Yes,"214 Lincoln Street, Boston, MA 2134",Boston,MA,2134,Po-Shang Chen,,(617) 254-6930,(617) 254-7631,p.chen@cccellc.com,,Partnership,No,01/01/2000,20-Nov,COD - Consultants: Design,EG - Civil/Structural Engineering,AE - Architects/Engineers,541330 - Engineering Services,,,,,
"C&D Electronics, Inc.","Distributor of electrical/mechanical components, lighting, cameras, and access control   ",MBE,SBE,,Yes,No,"28 Appleton Street, Holyoke, MA 1040",Holyoke,MA,1040,Tiffany Cutting Madru,President,(413) 493-1206,(413) 493-1212,mcutting@cdindustries.com,www.cdindustries.com,Corporation,No,01/01/1982,21 - 40,SU - Suppliers,,,"423610 - Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers ",423690 - Other Electronic Parts and Equipment Merchant Wholesalers ,,39130000 - Electrical wire management devices and accessories and supplies,32130000 - Electronic hardware and component parts and accessories,
"C4CABLE, LLC","Low voltage, telecom, wireless, security, AV, access controls installation",WBE,,,Yes,No,"530 West Street, Walpole, MA 2081",Walpole,MA,2081,Carole Derringer,,(508) 944-5573,,caroled@c4cable.com,,Limited Liability Company,No,01/01/2015,Less than 10,COT - Consultants: Telecommunications,,,541618 - Other Management Consulting Services ,541690 - Other Scientific and Technical Consulting Services,,,,
"CAAN Fence, Inc.","Fence installation:  PVC, chain link, ornamental, wood, temporary fence, bobwire, ballard, posts, and fence material supplier; repair all types of fences",MWBE,,,Yes,Yes,"967 North Main Street, Randolph, MA 2368",Randolph,MA,2368,Carlene Lewis,,(781) 767-3596,,caanfenceinc@yahoo.com,,Corporation,Yes,01/01/2012,Less than 10,"FG - Fencing, Guardrail Contractors",,,238990 - All Other Specialty Trade Contractors,,,,,
"Calloway Graphix, Printing and Marketing, Inc.",Graphic design; printing and marketing   ,MBE,SLBE,,No,Yes,"361 Newbury Street, Boston, MA 2158",Boston,MA,2158,Terryl Calloway,,(888) 538-3834,(888) 603-9305,jobs@callowaygraphix.com,,Corporation,No,01/01/1998,Less than 10,PT - Printers,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,MK - Marketing,,,,82140000 - Graphic design,82121500 - Printing Services,
"Carl-Louis & Company, Inc.",All plumbing and HVAC services   ,MBE,,,Yes,Yes,"104 Victory Road, Dorchester, MA 2122",Dorchester,MA,2122,Louis Pinheiro,,(617) 265-7324,(617) 288-1310,carllouis5@aol.com,,Corporation,Yes,01/01/1982,Less than 10,PB - Plumbing,"ME - Mechanical Contractors (HVAC, Plumbing, Insulation, Service, see also GC, PB)",GC - General Contractors,"238220 - Plumbing, Heating, and Air-Conditioning Contractors ",,,,,
Carol s Lighting & Supply Company,"Procurement, supplier, and distribution of electrical supplies and lighting fixtures and consulting services   ",MWBE,SBE,,No,No,"55 Shawmut Road, Canton, MA 2021",Canton,MA,2021,Carol Ford,,(888) 822-7657,(781) 499-2511,carol@carolslightingsupply.com,,Sole Proprietorship,No,01/01/2003,Less than 10,SU - Suppliers,,,"423610 - Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers ",423690 - Other Electronic Parts and Equipment Merchant Wholesalers ,,39110000 - Lighting Fixtures and Accessories,,
Carroll Communications Group,"Digital Marketing, Social Media Marketing, Marketing Strategy, Lead Generation, Website Development, Media Planning and Buying.  ",MBE,SBE,,Yes,No,"P.O. Box 401, Milton, MA 2186",Milton,MA,2186,Marc Carroll,,(781) 248-2125,,mcarroll@carrollcommunications.net,carrollcommunications.net,Sole Proprietorship,No,01/01/2008,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,MK - Marketing,,541810 - Advertising Agencies,541830 - Media Buying Agencies,541613 - Marketing Consulting Services ,82100000 - Advertising,80140000 - Marketing and distribution,82140000 - Graphic design
"Casablanca Services, Inc.",Landscaping; fencing; irrigation; hardscaping; and snow removal,MBE,,,No,No,"4 Bennett Street, Everett, MA 2149",Everett,MA,2149,Yacine Ibrahimi,,(508) 271-5655,(508) 271-5655,casablancalandscaping@gmail.com,,Corporation,Yes,01/01/2011,Less than 10,LA - Landscaping Contractors,,,561730 - Landscaping Services,,,,,
"Catherine M. O'Neill, LLC",Consultant specializing in developing successful community and public relations campaigns and strategies to assist real estate developers,WBE,SLBE,,No,No,"170 Savin Hill Avenue, Dorchester, MA 2124",Dorchester,MA,2124,Catherine O'Neill,,(617) 943-6173,,catherine@catherineoneill.com,,Limited Liability Company,No,01/01/2004,Less than 10,COP - Consultants: Public Relations,"RE - Real Estate (Development, Management, Sales and Appraisals)",TV - Television/Production,541810 - Advertising Agencies,541820 - Public Relations Agencies,,,,
CBA Landscape Architects LLC,Landscape architecture design firm   ,WBE,,,Yes,Yes,"24 Thorndike Street, Cambridge, MA 2141",Cambridge,MA,2141,Megan Tomkins,,(617) 945-9760,(617) 776-8775,meghan@cbaland.com,,Sole Proprietorship,No,,Less than 10,"LD - Landscaping (Design, Architects)",,,541320 - Landscape Architectural Services,,,,,
"CDW Consultants, Inc.","Civil and environmental engineering:  civil/site design, permitting, hazardous material site investigation and construction administration   ",WBE,SBE,,Yes,Yes,"6 Huron Drive, Natick, MA 1760",Natick,MA,1760,Kathleen Campbell,,(508) 875-2657,(508) 875-6617,info@cdwconsultants.com,,Corporation,No,01/01/1990,21 - 40,CON - Consultants: Environmental,"COA - Consultants: Architecture, Engineering",AE - Architects/Engineers,"541990 - All Other Professional, Scientific, and Technical Services",,,,,
Central Electrical Specialty Corp.,Supply all commercial and industrial electrical materials   ,WBE,SBE,,Yes,No,"130 Ford Street, Brockton, MA 2303",Brockton,MA,2303,Kristin Stadelmann,,(508) 586-4000,(508) 580-2970,kristin@centralelectrical.com,,Corporation,Yes,01/01/1988,20-Nov,"EO - Electronic Parts (Mgfs., Distrib., Assembly Service)",,,444190 - Other Building Material Dealers ,,,,,
"CERO Cooperative, Inc.",Compost removal; hauling organic waste   ,MBE,SLBE,,No,Yes,"1452 Dorchester Avenue, Dorchester, MA 2122",Dorchester,MA,2122,Laurel Holmes,,(617) 291-5855,,support@cero.coop,,Corporation,No,01/01/2013,Less than 10,TK - Trucking (Waste Disposal Commodities Transport),,,562111 - Solid Waste Collection ,,,,,
Chaps Building Management & Maintenance,"Janitorial services, landscaping and painting   ",MWBE,SLBE,,No,Yes,"DBA Services, Inc., Dorchester, MA 2124",Dorchester,MA,2124,Pele James,"Pele James, Owner",(617) 265-0622,(617) 265-2280,jbaird@chapsservices.com,,Corporation,No,01/01/1994,41 - 100,"JA - Janitorial Services/Supplies (see also MA, RS)","MA - Maintenance (Industrial, Commericial, Residential, see also JA, RS)",PA - Painting and Papering Contractors,561720 - Janitorial Services ,561740 - Carpet and Upholstery Cleaning Services,238320 - Painting and Wall Covering Contractors,76110000 - Cleaning and janitorial services,,
"Chase Landscape, Inc.","Landscape construction, erosion control, masonry   ",WBE,SBE,,Yes,No,"7 New Venture Drive, South Dennis, MA 2660",South Dennis,MA,2660,Nicole Merriman,,(508) 776-2735,,nmerriman@comcast.net,,Corporation,Yes,01/01/1998,Less than 10,LA - Landscaping Contractors,LA - Landscaping Contractors,,238140 - Masonry Contractors ,,,,,
"Cheryl Richards, Inc.",Photographer   ,WBE,,,No,Yes,"20 Park Plaza, Boston, MA 2116",Boston,MA,2116,Cheryl Richards,,(617) 424-7760,,cheryl@cherylrichards.com,,Corporation,No,,Less than 10,PG - Photography,,,,,,,,
Chiang Law Firm,Legal representation; translation   ,MBE,SLBE,,No,No,"65 Harrison Avenue, Boston, MA 2111",Boston,MA,2111,Gar Chiang,,(617) 422-0088,(617) 422-0088,garchiang@gmail.com,,Sole Proprietorship,No,01/01/2012,Less than 10,AT - Attorneys,COV - Consultants: Translation,,541930 - Translation and Interpretation Services,541110 - Offices of Lawyers,,,,
"Chocolate Therapy, Inc.",Retail and wholesale confections; corporate gifts; corporate offsite activities   ,MWBE,,,Yes,No,"60 Worcester Road, Framingham, MA 1702",Framingham,MA,1702,Pamela Griffin,,(508) 875-1571,,chocolatetherapy2011@gmail.com,,Corporation,No,01/01/2011,Less than 10,"FD - Food Products, Services",,,311352 - Confectionery Manufacturing from Purchased Chocolate ,424450 - Confectionery Merchant Wholesalers ,445292 - Confectionery and Nut Stores ,,,
"Choo & Company, Inc.","Architectural, engineering, and construction management services   ",MBE,,,Yes,Yes,"One Billings Road, Quincy, MA 2171",Quincy,MA,2171,Arthur Choo,,(617) 786-7727,(617) 786-7715,pingm@choo-design.com,,Corporation,No,01/01/1993,Less than 10,AE - Architects/Engineers,"AS - Architectural Support Services, Surveying",,541310 - Architectural Services,,,,,
City Golf Boston,"Indoor golf training center, offering golf instruction, corporte events and retail merchandise ",,SLBE,,No,Yes,"167 Milk Street, Boston, MA 2108",Boston,MA,2108,Gary Parker,,(617) 357-4653,(617) 695-2549,info@citygolfboston.com,,Sole Proprietorship,No,,Less than 10,TA - Training (see also ED),"ED - Education (see also OS, TA)",RT - Retail Sales of Art & Framing,451110 - Sporting Goods Stores ,,,,,
